CustomerKey,Name,Gender,Birthday,City,State,State Code,Country,Country Code
901,Mary Wainwright,Female,1989-04-06 00:00:00,TANBAR,Queensland,QLD,Australia,AU
1000,Jonathan Van Otterloo,Male,1988-10-17 00:00:00,BLACKBULL,Queensland,QLD,Australia,AU
1817,Laura Le Rennetel,Female,1986-07-10 00:00:00,BEAUCHAMP,Victoria,VIC,Australia,AU
2334,Jasmine Mulley,Female,1988-01-08 00:00:00,MARRAH,Western Australia,WA,Australia,AU
2739,Gabriel Isaacs,Male,1965-04-18 00:00:00,WOODCROFT,New South Wales,NSW,Australia,AU
2832,Abby Loewe,Female,1998-09-10 00:00:00,EUMUNGERIE,New South Wales,NSW,Australia,AU
3338,Dominic Morant,Male,1987-08-07 00:00:00,BRANXHOLME,Victoria,VIC,Australia,AU
4619,Dean Storey,Male,1959-09-11 00:00:00,NEWCASTLE EAST,New South Wales,NSW,Australia,AU
4854,Scarlett Irvine,Female,1994-10-03 00:00:00,HERVEY BAY,Queensland,QLD,Australia,AU
5657,Jade Stuart,Female,1967-09-18 00:00:00,GYMPIE,Queensland,QLD,Australia,AU
5833,Austin Crotty,Male,1995-02-28 00:00:00,WEST HALDON,Queensland,QLD,Australia,AU
6440,Ruby Howe,Female,1942-06-24 00:00:00,CASINO,New South Wales,NSW,Australia,AU
6501,Katie Lihou,Female,1967-05-05 00:00:00,ORANGE EAST,New South Wales,NSW,Australia,AU
6711,Alicia Carandini,Female,1935-03-19 00:00:00,MOUNT GEORGE,South Australia,SA,Australia,AU
7059,Kayla Downey,Female,1988-09-04 00:00:00,GILEAD,New South Wales,NSW,Australia,AU
7247,Sophie Stobie,Female,1955-08-08 00:00:00,VICTORIA ROCK,Western Australia,WA,Australia,AU
7566,William Prenzel,Male,1993-07-01 00:00:00,KILLARA,Victoria,VIC,Australia,AU
7986,Beau Muecke,Male,1967-03-10 00:00:00,BEALIBA,Victoria,VIC,Australia,AU
8478,Makayla Sherlock,Female,1984-03-21 00:00:00,HOWQUA HILLS,Victoria,VIC,Australia,AU
8895,Ashton Ridley,Male,1945-06-11 00:00:00,SPRINGTON,South Australia,SA,Australia,AU
9680,Patrick Dittmer,Male,1991-02-12 00:00:00,SPARGO CREEK,Victoria,VIC,Australia,AU
10138,Katie Tyas,Female,1974-02-20 00:00:00,COOMRITH,Queensland,QLD,Australia,AU
10568,Skye Pawsey,Female,1950-09-25 00:00:00,SWANS LAGOON,Queensland,QLD,Australia,AU
10591,Timothy Rudall,Male,1992-09-11 00:00:00,WONGAWALLAN,Queensland,QLD,Australia,AU
11377,George Tooth,Male,1990-08-13 00:00:00,RICH AVON WEST,Victoria,VIC,Australia,AU
11659,Nathan Penfold,Male,1954-10-15 00:00:00,WARNER,Queensland,QLD,Australia,AU
11799,Isabel Alice,Female,1984-04-14 00:00:00,CHARBON,New South Wales,NSW,Australia,AU
